timestamp,x,y,z,Uroll,Upitch,Uyaw,Croll,Cpitch,Cthrottle,Cyaw,2.21,0.181,2.45
1554227689.282,0.020,1.043,0.096,1.597,3.862,-0.029,-0.002,0.048,1.977,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.07,0.49,0.74,0.000
1554227689.296,-0.730,-0.647,0.078,-1.464,-2.903,-0.097,0.010,0.046,1.979,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.05,0.49,0.75,0.000
1554227689.312,0.018,1.043,0.096,1.587,3.825,-0.023,-0.002,0.048,1.981,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.05,0.49,0.75,0.000
1554227689.328,-0.731,-0.649,0.078,-1.470,-2.947,-0.094,0.010,0.046,1.983,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.05,0.49,0.75,0.000
1554227689.344,0.019,1.041,0.096,1.588,3.783,-0.018,-0.003,0.049,1.985,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.05,0.49,0.75,0.000
1554227689.360,-0.732,-0.648,0.077,-1.479,-2.976,-0.090,0.009,0.046,1.987,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.05,0.49,0.75,0.000
1554227689.375,0.020,1.042,0.096,1.590,3.755,-0.013,-0.003,0.049,1.989,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.05,0.49,0.75,0.000
1554227689.391,-0.731,-0.648,0.077,-1.478,-3.006,-0.088,0.009,0.046,1.991,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.05,0.49,0.75,0.000
1554227689.406,0.019,1.042,0.097,1.585,3.725,-0.008,-0.003,0.049,1.992,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.05,0.49,0.75,0.000
1554227689.421,-0.732,-0.649,0.077,-1.482,-3.038,-0.085,0.009,0.047,1.994,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.05,0.49,0.75,0.000
1554227689.438,0.020,1.042,0.097,1.584,3.695,-0.004,-0.003,0.049,1.996,1500,1500,1000,1500,21757,-5,49,75,-48.13,-0.05,0.49,0.75,0.000
1554227689.452,-0.732,-0.647,0.076,-1.486,-3.060,-0.083,0.009,0.047,1.997,1500,1500,1000,1500,21923,-7,51,76,-48.13,-0.07,0.51,0.76,0.000
1554227689.468,0.020,1.043,0.097,1.584,3.675,-0.000,-0.004,0.049,1.999,1500,1500,1000,1500,21923,-7,51,76,-48.13,-0.07,0.51,0.76,0.000
1554227689.483,-0.731,-0.648,0.076,-1.483,-3.085,-0.080,0.009,0.047,2.000,1500,1500,1000,1500,21923,-7,51,76,-48.13,-0.07,0.51,0.76,0.000
1554227689.499,0.019,1.043,0.097,1.578,3.650,0.002,-0.004,0.049,2.001,1500,1500,1000,1500,21923,-7,51,76,-48.13,-0.07,0.51,0.76,0.000
1554227689.515,-0.732,-0.648,0.076,-1.489,-3.111,-0.077,0.008,0.046,2.003,1500,1500,1000,1500,21923,-7,51,76,-48.13,-0.07,0.51,0.76,0.000
1554227689.531,0.020,1.042,0.097,1.579,3.625,0.004,-0.004,0.049,2.004,1500,1500,1000,1500,21923,-7,51,76,-48.13,-0.07,0.51,0.76,0.000
1554227689.547,-0.732,-0.648,0.077,-1.492,-3.129,-0.073,0.008,0.046,2.005,1500,1500,1000,1500,21923,-7,51,76,-48.13,-0.07,0.51,0.76,0.000
1554227689.562,0.020,1.043,0.096,1.579,3.607,0.005,-0.004,0.049,2.007,1500,1500,1000,1500,21923,-7,51,76,-48.13,-0.07,0.51,0.76,0.000
1554227689.578,-0.731,-0.648,0.077,-1.492,-3.149,-0.070,0.009,0.046,2.008,1500,1500,1000,1500,21923,-7,51,76,-48.13,-0.07,0.51,0.76,0.000
1554227689.595,0.020,1.043,0.096,1.575,3.588,0.007,-0.004,0.049,2.009,1500,1500,1000,1500,21923,-7,51,76,-48.13,-0.07,0.51,0.76,0.001
1554227689.619,-0.732,-0.648,0.077,-1.495,-3.168,-0.067,0.009,0.047,2.010,1500,1500,1000,1500,22089,-5,48,76,-48.13,-0.07,0.51,0.76,0.001
1554227689.632,0.020,1.042,0.096,1.576,3.567,0.008,-0.003,0.049,2.011,1500,1500,1000,1500,22089,-5,48,76,-48.13,-0.05,0.48,0.76,0.001
1554227689.647,-0.732,-0.648,0.077,-1.498,-3.184,-0.065,0.010,0.046,2.012,1500,1500,1000,1500,22089,-5,48,76,-48.13,-0.05,0.48,0.76,0.001
1554227689.662,0.021,1.042,0.096,1.576,3.552,0.010,-0.002,0.048,2.013,1500,1500,1000,1500,22089,-5,48,76,-48.13,-0.05,0.48,0.76,0.001
1554227689.678,-0.732,-0.648,0.077,-1.499,-3.199,-0.063,0.011,0.045,2.014,1500,1500,1000,1500,22089,-5,48,76,-48.13,-0.05,0.48,0.76,0.001
1554227689.693,0.021,1.042,0.096,1.574,3.537,0.011,-0.002,0.047,2.015,1500,1500,1000,1500,22089,-5,48,76,-48.13,-0.05,0.48,0.76,0.001
1554227689.709,-0.732,-0.648,0.077,-1.501,-3.214,-0.061,0.011,0.045,2.016,1500,1500,1000,1500,22089,-5,48,76,-48.13,-0.05,0.48,0.76,0.001
1554227689.724,0.021,1.042,0.096,1.573,3.523,0.014,-0.001,0.048,2.017,1500,1500,1000,1500,22089,-5,48,76,-48.13,-0.05,0.48,0.76,0.001
1554227689.740,-0.732,-0.648,0.077,-1.503,-3.227,-0.059,0.012,0.045,2.017,1500,1500,1000,1500,22089,-5,48,76,-48.13,-0.05,0.48,0.76,0.001
